epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3953,2.31127,1.65518,1.17783,0.41427,0.19857,0.21002,0.08694,2.15571,1.33324,1.04726,0.0673837,0.000329457,0.000329457
2,64.2664,1.88516,1.27901,1.05328,0.40799,0.24701,0.25618,0.12436,1.88765,1.28744,0.96207,0.0343772,0.000656229,0.000656229
3,95.8383,1.76679,1.14115,0.99768,0.73978,0.29497,0.33403,0.14738,1.83321,1.12403,0.96018,0.001364,0.000976401,0.000976401
4,127.701,1.74286,1.10409,0.98532,0.60914,0.32119,0.35506,0.17217,1.74489,0.98437,0.94481,0.0009703,0.0009703,0.0009703
5,159.817,1.64177,1.03984,0.98861,0.62467,0.35946,0.38912,0.18681,1.6602,0.937,0.93051,0.0009604,0.0009604,0.0009604
6,191.838,1.61609,0.99944,0.97586,0.64563,0.33796,0.36051,0.14875,1.79945,1.00826,0.95441,0.0009505,0.0009505,0.0009505
7,224.071,1.65885,1.01159,0.95944,0.62517,0.35049,0.38339,0.18297,1.61005,0.93299,0.91846,0.0009406,0.0009406,0.0009406
8,256.155,1.56412,0.9277,0.96382,0.65129,0.36382,0.40088,0.19793,1.61769,0.91434,0.90948,0.0009307,0.0009307,0.0009307
9,289.044,1.56519,0.91531,0.95927,0.66681,0.37943,0.41505,0.17916,1.84421,0.92219,0.95884,0.0009208,0.0009208,0.0009208
10,321.009,1.5083,0.89938,0.9498,0.66324,0.39252,0.42569,0.19835,1.64966,0.88391,0.91899,0.0009109,0.0009109,0.0009109
11,353.102,1.44042,0.86813,0.9345,0.75693,0.3572,0.43069,0.20309,1.61496,0.86,0.91383,0.000901,0.000901,0.000901
12,385.42,1.54646,0.90087,0.94692,0.65025,0.38471,0.44205,0.21441,1.55393,0.84405,0.8995,0.0008911,0.0008911,0.0008911
13,417.536,1.44316,0.85648,0.93833,0.81556,0.35432,0.43521,0.20642,1.57182,0.85472,0.91067,0.0008812,0.0008812,0.0008812
14,449.82,1.45987,0.84868,0.92776,0.76669,0.36052,0.42566,0.21502,1.56585,0.8228,0.90373,0.0008713,0.0008713,0.0008713
15,482.489,1.45905,0.85935,0.94002,0.63146,0.39995,0.45102,0.22167,1.52322,0.82363,0.89315,0.0008614,0.0008614,0.0008614
16,514.956,1.42083,0.85201,0.91801,0.63975,0.38645,0.44518,0.21878,1.63546,0.83018,0.91904,0.0008515,0.0008515,0.0008515
17,547.089,1.42611,0.80381,0.93072,0.78397,0.40399,0.46914,0.23225,1.53084,0.79607,0.89497,0.0008416,0.0008416,0.0008416
18,579.214,1.40047,0.81441,0.9241,0.7405,0.39329,0.45688,0.22614,1.52013,0.8189,0.90289,0.0008317,0.0008317,0.0008317
19,611.234,1.40519,0.79643,0.92621,0.68597,0.4065,0.4597,0.22731,1.56288,0.85219,0.90791,0.0008218,0.0008218,0.0008218
20,643.207,1.34935,0.79621,0.91877,0.71749,0.43131,0.47118,0.22329,1.59502,0.86385,0.90175,0.0008119,0.0008119,0.0008119
21,675.39,1.39494,0.8084,0.92552,0.7322,0.38095,0.43884,0.22094,1.57372,0.80138,0.89598,0.000802,0.000802,0.000802
22,707.353,1.38038,0.76256,0.9218,0.69111,0.37868,0.44811,0.21282,1.56336,0.88142,0.90291,0.0007921,0.0007921,0.0007921
23,739.458,1.37614,0.77021,0.92051,0.72725,0.40399,0.4597,0.23395,1.51066,0.80958,0.8856,0.0007822,0.0007822,0.0007822
24,773.862,1.35911,0.75077,0.92027,0.71061,0.41353,0.46379,0.2333,1.52097,0.8043,0.90242,0.0007723,0.0007723,0.0007723
25,806.009,1.32623,0.75401,0.90871,0.73629,0.41594,0.47856,0.23329,1.53881,0.81596,0.90327,0.0007624,0.0007624,0.0007624
26,838.291,1.35328,0.75761,0.92056,0.72346,0.41195,0.48405,0.2383,1.46435,0.77812,0.88044,0.0007525,0.0007525,0.0007525
