epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0014,2.35391,1.69975,1.13212,0.47999,0.27332,0.27648,0.12763,1.75186,1.1335,0.94233,0.0673837,0.000329457,0.000329457
2,77.2413,1.90128,1.1954,0.99722,0.51072,0.31457,0.32398,0.15823,1.62571,1.04556,0.91773,0.0343772,0.000656229,0.000656229
3,113.672,1.79012,1.11694,0.97381,0.49974,0.38104,0.34917,0.17253,1.59309,1.00147,0.9134,0.001364,0.000976401,0.000976401
4,147.562,1.73162,1.06806,0.95154,0.59539,0.32035,0.35255,0.18949,1.45382,0.8757,0.89472,0.0009703,0.0009703,0.0009703
5,182.897,1.75752,1.03331,0.94434,0.62134,0.31678,0.39178,0.18785,1.48052,0.89065,0.90103,0.0009604,0.0009604,0.0009604
6,219.459,1.65014,0.97591,0.9454,0.61896,0.41701,0.42137,0.21834,1.46775,0.78641,0.89634,0.0009505,0.0009505,0.0009505
7,258.461,1.64719,0.95318,0.91856,0.61461,0.40507,0.43555,0.22006,1.40558,0.80306,0.88377,0.0009406,0.0009406,0.0009406
8,303.328,1.5492,0.91892,0.9312,0.7262,0.41487,0.45585,0.23632,1.41194,0.77496,0.88898,0.0009307,0.0009307,0.0009307
9,346.78,1.59153,0.91622,0.91016,0.73387,0.40856,0.45025,0.22045,1.53814,0.83445,0.90453,0.0009208,0.0009208,0.0009208
10,384.886,1.58005,0.89003,0.92719,0.70142,0.42887,0.44823,0.22019,1.41242,0.802,0.88683,0.0009109,0.0009109,0.0009109
11,420.85,1.62617,0.93627,0.92444,0.56042,0.41794,0.44803,0.22884,1.46827,0.80879,0.89474,0.000901,0.000901,0.000901
12,456.544,1.58759,0.89696,0.91523,0.64085,0.46783,0.45821,0.24511,1.33983,0.75716,0.87692,0.0008911,0.0008911,0.0008911
13,489.652,1.60167,0.88356,0.92341,0.612,0.44648,0.46422,0.24273,1.34495,0.764,0.88376,0.0008812,0.0008812,0.0008812
14,521.418,1.50287,0.85197,0.90518,0.66878,0.43493,0.49185,0.25766,1.25121,0.77345,0.86862,0.0008713,0.0008713,0.0008713
15,553.863,1.57957,0.88131,0.91103,0.69037,0.42283,0.45404,0.24267,1.36469,0.77184,0.88674,0.0008614,0.0008614,0.0008614
16,585.757,1.48894,0.84964,0.90393,0.72833,0.43874,0.47791,0.25305,1.36858,0.75818,0.88582,0.0008515,0.0008515,0.0008515
17,617.541,1.46756,0.81947,0.904,0.74473,0.37997,0.45004,0.24318,1.29171,0.76869,0.87274,0.0008416,0.0008416,0.0008416
18,649.379,1.44924,0.8059,0.90721,0.70015,0.42008,0.47656,0.25499,1.36665,0.71322,0.88249,0.0008317,0.0008317,0.0008317
19,681.072,1.52981,0.84899,0.8994,0.71116,0.41513,0.47826,0.26466,1.29461,0.72802,0.87737,0.0008218,0.0008218,0.0008218
20,713.14,1.39637,0.78475,0.8975,0.69122,0.45377,0.51464,0.26757,1.31405,0.70198,0.8759,0.0008119,0.0008119,0.0008119
21,745.333,1.46163,0.80584,0.90412,0.73081,0.43591,0.4964,0.25093,1.3153,0.69449,0.87352,0.000802,0.000802,0.000802
22,777.825,1.41112,0.78329,0.89326,0.64348,0.43549,0.49368,0.25678,1.34238,0.71594,0.88152,0.0007921,0.0007921,0.0007921
23,811.877,1.41222,0.79171,0.89588,0.60434,0.49403,0.4888,0.25642,1.2162,0.72985,0.8671,0.0007822,0.0007822,0.0007822
24,843.796,1.40314,0.77952,0.88899,0.62824,0.46044,0.47943,0.2568,1.2947,0.70202,0.87197,0.0007723,0.0007723,0.0007723
25,875.537,1.3894,0.79499,0.89629,0.72234,0.42438,0.48077,0.25916,1.34207,0.74295,0.88147,0.0007624,0.0007624,0.0007624
26,907.434,1.41796,0.77846,0.90101,0.67908,0.44737,0.48539,0.25941,1.37333,0.71638,0.87681,0.0007525,0.0007525,0.0007525
27,939.409,1.37612,0.76896,0.88842,0.71481,0.44385,0.49062,0.27245,1.26051,0.70647,0.86788,0.0007426,0.0007426,0.0007426
28,974.386,1.32688,0.73174,0.8904,0.70038,0.46735,0.49622,0.27378,1.24211,0.66115,0.86866,0.0007327,0.0007327,0.0007327
29,1008.8,1.41205,0.80145,0.91049,0.75457,0.42833,0.50866,0.27776,1.33159,0.68029,0.87786,0.0007228,0.0007228,0.0007228
30,1041.75,1.36274,0.73156,0.88443,0.72981,0.46209,0.50653,0.28091,1.28217,0.66594,0.87229,0.0007129,0.0007129,0.0007129
